,Season,Team,A,2A,VE
424,1819,Desp. Chaves,84,1,4
425,1819,Santa Clara,78,2,4
426,1819,Portimonense,78,2,4
427,1819,Desp. Aves,76,2,1
428,1819,Moreirense,74,2,3
429,1819,Belenenses,73,3,3
430,1819,SL Benfica,70,2,5
431,1819,V. Guimarães,68,2,1
432,1819,SC Braga,65,1,1
433,1819,FC Porto,61,0,1
434,1920,Paços Ferreira,112,4,2
435,1920,Boavista,111,3,4
436,1920,Famalicão,99,3,8
437,1920,V. Setúbal,99,3,4
438,1920,Marítimo,98,1,5
439,1920,Belenenses,96,3,1
440,1920,Desp. Aves,94,4,3
441,1920,Sporting CP,91,3,0
442,1920,SC Braga,91,2,4
443,1920,FC Porto,87,2,1
444,1920,Portimonense,83,2,0
445,1920,Moreirense,82,2,2
446,1920,Tondela,82,3,1
447,1920,Gil Vicente,76,3,1
448,1920,Santa Clara,75,1,2
449,1920,SL Benfica,71,1,1
450,1920,Rio Ave,71,2,5
451,1920,V. Guimarães,69,3,2
452,2021,Nacional,84,1,3
453,2021,Marítimo,83,2,1
454,2021,Famalicão,81,2,2
455,2021,Santa Clara,81,1,1
456,2021,Belenenses,79,3,2
457,2021,Sporting CP,74,2,1
458,2021,Boavista,73,5,3
459,2021,Portimonense,72,0,1
460,2021,Tondela,70,2,3
461,2021,Moreirense,70,1,0
462,2021,Farense,67,3,3
463,2021,SL Benfica,64,0,0
464,2021,V. Guimarães,64,0,2
465,2021,Rio Ave,61,2,3
466,2021,Gil Vicente,60,2,2
467,2021,Paços Ferreira,58,0,2
468,2021,SC Braga,55,1,4
469,2021,FC Porto,51,3,1
