,Season,SeasonOrder,Team,Round,TotalPoints,Position
295,2021,27,Moreirense,17,21,8
296,2021,27,Nacional,17,18,9
297,2021,27,Tondela,17,18,10
298,2021,27,Marítimo,17,17,11
299,2021,27,Rio Ave,17,16,12
300,2021,27,Gil Vicente,17,16,13
301,2021,27,Belenenses,17,16,14
302,2021,27,Portimonense,17,15,15
303,2021,27,Famalicão,17,14,16
304,2021,27,Boavista,17,14,17
305,2021,27,Farense,17,14,18
306,2021,27,Sporting CP,18,48,1
307,2021,27,FC Porto,18,40,2
308,2021,27,SL Benfica,18,37,3
309,2021,27,SC Braga,18,37,4
310,2021,27,Paços Ferreira,18,35,5
311,2021,27,V. Guimarães,18,32,6
312,2021,27,Santa Clara,18,25,7
313,2021,27,Moreirense,18,24,8
314,2021,27,Nacional,18,21,9
315,2021,27,Rio Ave,18,19,10
316,2021,27,Tondela,18,18,11
317,2021,27,Marítimo,18,17,12
318,2021,27,Belenenses,18,17,13
319,2021,27,Portimonense,18,16,14
320,2021,27,Gil Vicente,18,16,15
321,2021,27,Famalicão,18,14,16
322,2021,27,Farense,18,14,17
323,2021,27,Boavista,18,14,18
324,2021,27,Sporting CP,19,51,1
325,2021,27,FC Porto,19,41,2
326,2021,27,SC Braga,19,40,3
327,2021,27,SL Benfica,19,38,4
328,2021,27,Paços Ferreira,19,35,5
329,2021,27,V. Guimarães,19,32,6
330,2021,27,Santa Clara,19,25,7
331,2021,27,Moreirense,19,25,8
332,2021,27,Rio Ave,19,22,9
333,2021,27,Nacional,19,21,10
334,2021,27,Tondela,19,21,11
335,2021,27,Portimonense,19,19,12
336,2021,27,Belenenses,19,18,13
337,2021,27,Marítimo,19,17,14
338,2021,27,Farense,19,17,15
339,2021,27,Gil Vicente,19,16,16
340,2021,27,Boavista,19,15,17
341,2021,27,Famalicão,19,15,18
342,2021,27,Sporting CP,20,54,1
343,2021,27,FC Porto,20,44,2
344,2021,27,SC Braga,20,43,3
345,2021,27,SL Benfica,20,39,4
346,2021,27,Paços Ferreira,20,38,5
347,2021,27,V. Guimarães,20,32,6
348,2021,27,Santa Clara,20,25,7
349,2021,27,Moreirense,20,25,8
350,2021,27,Rio Ave,20,22,9
351,2021,27,Nacional,20,21,10
352,2021,27,Tondela,20,21,11
353,2021,27,Belenenses,20,21,12
354,2021,27,Portimonense,20,19,13
355,2021,27,Gil Vicente,20,19,14
356,2021,27,Famalicão,20,18,15
357,2021,27,Farense,20,18,16
358,2021,27,Boavista,20,18,17
359,2021,27,Marítimo,20,17,18
360,2021,27,Sporting CP,21,55,1
361,2021,27,SC Braga,21,46,2
362,2021,27,FC Porto,21,45,3
363,2021,27,SL Benfica,21,42,4
364,2021,27,Paços Ferreira,21,38,5
365,2021,27,V. Guimarães,21,35,6
366,2021,27,Santa Clara,21,28,7
367,2021,27,Moreirense,21,26,8
368,2021,27,Tondela,21,24,9
369,2021,27,Rio Ave,21,22,10
370,2021,27,Belenenses,21,22,11
371,2021,27,Nacional,21,21,12
372,2021,27,Portimonense,21,20,13
373,2021,27,Gil Vicente,21,19,14
374,2021,27,Farense,21,19,15
375,2021,27,Famalicão,21,19,16
376,2021,27,Boavista,21,18,17
377,2021,27,Marítimo,21,18,18
378,2021,27,Sporting CP,22,58,1
379,2021,27,SC Braga,22,49,2
380,2021,27,FC Porto,22,48,3
381,2021,27,SL Benfica,22,45,4
382,2021,27,Paços Ferreira,22,41,5
383,2021,27,V. Guimarães,22,35,6
384,2021,27,Moreirense,22,29,7
385,2021,27,Santa Clara,22,28,8
386,2021,27,Rio Ave,22,25,9
387,2021,27,Tondela,22,24,10
388,2021,27,Portimonense,22,23,11
389,2021,27,Belenenses,22,22,12
390,2021,27,Boavista,22,21,13
391,2021,27,Nacional,22,21,14
392,2021,27,Gil Vicente,22,19,15
393,2021,27,Farense,22,19,16
394,2021,27,Famalicão,22,19,17
395,2021,27,Marítimo,22,18,18
396,2021,27,Sporting CP,23,61,1
397,2021,27,FC Porto,23,51,2
398,2021,27,SC Braga,23,50,3
399,2021,27,SL Benfica,23,48,4
400,2021,27,Paços Ferreira,23,41,5
401,2021,27,V. Guimarães,23,35,6
402,2021,27,Santa Clara,23,31,7
403,2021,27,Moreirense,23,30,8
404,2021,27,Rio Ave,23,26,9
405,2021,27,Belenenses,23,25,10
406,2021,27,Tondela,23,24,11
407,2021,27,Portimonense,23,23,12
408,2021,27,Gil Vicente,23,22,13
409,2021,27,Boavista,23,21,14
410,2021,27,Marítimo,23,21,15
411,2021,27,Nacional,23,21,16
412,2021,27,Famalicão,23,20,17
413,2021,27,Farense,23,19,18
414,2021,27,Sporting CP,24,64,1
415,2021,27,FC Porto,24,54,2
416,2021,27,SL Benfica,24,51,3
417,2021,27,SC Braga,24,50,4
418,2021,27,Paços Ferreira,24,44,5
419,2021,27,V. Guimarães,24,35,6
420,2021,27,Santa Clara,24,32,7
421,2021,27,Moreirense,24,30,8
422,2021,27,Rio Ave,24,27,9
423,2021,27,Belenenses,24,26,10
424,2021,27,Tondela,24,25,11
425,2021,27,Gil Vicente,24,25,12
426,2021,27,Portimonense,24,23,13
427,2021,27,Famalicão,24,23,14
428,2021,27,Farense,24,22,15
429,2021,27,Nacional,24,21,16
430,2021,27,Boavista,24,21,17
431,2021,27,Marítimo,24,21,18
432,2021,27,Sporting CP,25,65,1
433,2021,27,FC Porto,25,57,2
434,2021,27,SL Benfica,25,54,3
435,2021,27,SC Braga,25,53,4
436,2021,27,Paços Ferreira,25,44,5
437,2021,27,V. Guimarães,25,35,6
438,2021,27,Santa Clara,25,32,7
439,2021,27,Moreirense,25,31,8
440,2021,27,Tondela,25,28,9
441,2021,27,Gil Vicente,25,28,10
442,2021,27,Rio Ave,25,27,11
443,2021,27,Portimonense,25,26,12
444,2021,27,Famalicão,25,26,13
445,2021,27,Belenenses,25,26,14
446,2021,27,Boavista,25,24,15
447,2021,27,Farense,25,22,16
448,2021,27,Marítimo,25,21,17
449,2021,27,Nacional,25,21,18
450,2021,27,Sporting CP,26,66,1
451,2021,27,FC Porto,26,60,2
452,2021,27,SL Benfica,26,57,3
453,2021,27,SC Braga,26,54,4
454,2021,27,Paços Ferreira,26,44,5
455,2021,27,Santa Clara,26,35,6
456,2021,27,V. Guimarães,26,35,7
457,2021,27,Moreirense,26,34,8
458,2021,27,Portimonense,26,29,9
459,2021,27,Tondela,26,28,10
460,2021,27,Gil Vicente,26,28,11
461,2021,27,Rio Ave,26,28,12
462,2021,27,Belenenses,26,27,13
463,2021,27,Famalicão,26,27,14
464,2021,27,Boavista,26,25,15
465,2021,27,Marítimo,26,24,16
466,2021,27,Farense,26,22,17
467,2021,27,Nacional,26,21,18
468,2021,27,Sporting CP,27,69,1
469,2021,27,FC Porto,27,63,2
470,2021,27,SL Benfica,27,57,3
471,2021,27,SC Braga,27,55,4
472,2021,27,Paços Ferreira,27,44,5
473,2021,27,V. Guimarães,27,38,6
474,2021,27,Santa Clara,27,35,7
475,2021,27,Moreirense,27,34,8
476,2021,27,Portimonense,27,32,9
477,2021,27,Tondela,27,31,10
478,2021,27,Gil Vicente,27,31,11
479,2021,27,Belenenses,27,30,12
480,2021,27,Rio Ave,27,29,13
481,2021,27,Boavista,27,28,14
482,2021,27,Famalicão,27,27,15
483,2021,27,Marítimo,27,24,16
484,2021,27,Farense,27,22,17
485,2021,27,Nacional,27,21,18
486,2021,27,Sporting CP,28,70,1
487,2021,27,FC Porto,28,66,2
488,2021,27,SL Benfica,28,60,3
489,2021,27,SC Braga,28,58,4
490,2021,27,Paços Ferreira,28,44,5
491,2021,27,V. Guimarães,28,38,6
492,2021,27,Santa Clara,28,36,7
493,2021,27,Moreirense,28,35,8
494,2021,27,Tondela,28,34,9
495,2021,27,Portimonense,28,32,10
496,2021,27,Gil Vicente,28,31,11
497,2021,27,Belenenses,28,31,12
