,Season,Player,Team,J,A,2A,VE,SeasonOrder
454,0607,Milton do Ó,Marítimo,18,8,0,0,13.0
455,0607,Rui Duarte,E. Amadora,18,8,1,0,13.0
456,0607,Cândido Costa,Belenenses,24,8,1,0,13.0
457,0607,Rafał Grzelak,Boavista,28,8,1,0,13.0
458,0607,Mangualde,Paços Ferreira,23,8,0,1,13.0
459,0607,Roberto Brum,Académica,29,8,0,0,13.0
460,0708,Gabriel Gómez,Belenenses,25,12,1,0,
461,0708,Paulo Jorge,SC Braga,27,12,1,0,
462,0708,Cléber Monteiro,Nacional,25,11,1,0,
463,0708,João Pereira,SC Braga,27,11,1,0,
464,0708,César Peixoto,SC Braga,18,10,2,1,
465,0708,Gilmar,Naval,24,10,1,0,
466,0708,Davide,Naval,28,10,0,0,
467,0708,Anderson Polga,Sporting CP,25,10,0,0,
468,0708,Gilles Binya,SL Benfica,16,9,1,0,
469,0708,Fernando,E. Amadora,26,9,0,0,
470,0708,Hélder Cabral,E. Amadora,19,8,1,0,
471,0708,Cândido Costa,Belenenses,24,8,1,0,
472,0708,Matheus,"SC Braga, V. Setúbal",25,8,0,0,
473,0708,Delfim,Naval,23,8,1,0,
474,0708,Dédé,Paços Ferreira,25,8,0,0,
475,0708,Marcelão,Boavista,26,8,1,0,
476,0708,Kostas Katsouranis,SL Benfica,27,8,0,0,
477,0708,Abel Ferreira,Sporting CP,28,8,0,0,
478,0708,Tonel,Sporting CP,27,8,1,0,
479,0708,Patacas,Nacional,28,8,0,2,
480,0809,Mércio Silva,Trofense,25,12,1,0,15.0
481,0809,Derlei,Sporting CP,23,11,1,1,15.0
482,0809,Kostas Katsouranis,SL Benfica,24,11,1,0,15.0
483,0809,Patacas,Nacional,27,11,0,0,15.0
484,0809,Hassan Yebda,SL Benfica,25,10,1,0,15.0
485,0809,Vandinho,SC Braga,23,10,0,0,15.0
486,0809,André Vilas Boas,Rio Ave,25,10,1,0,15.0
487,0809,Miguel Lopes,Rio Ave,26,10,0,0,15.0
488,0809,Hugo Morais,Leixões,27,10,0,0,15.0
489,0809,Carciano,Belenenses,19,9,1,0,15.0
490,0809,Cândido Costa,Belenenses,20,9,0,0,15.0
491,0809,Rui Miguel,Paços Ferreira,24,9,0,0,15.0
492,0809,Hélder Barbosa,Trofense,28,9,0,0,15.0
493,0809,Roberto,Leixões,22,9,0,0,15.0
494,0809,Andrezinho,V. Guimarães,22,9,0,0,15.0
495,0809,Milton do Ó,Trofense,27,9,1,0,15.0
496,0809,Nenê,Nacional,28,9,0,0,15.0
497,0809,Gabriel Gómez,Belenenses,20,8,0,0,15.0
498,0809,Paulinho Teles,Trofense,19,8,0,1,15.0
499,0809,Filipe Anunciação,Paços Ferreira,24,8,0,0,15.0
500,0910,Tengarrinha,Olhanense,23,13,2,0,16.0
501,0910,Miguel Veloso,Sporting CP,25,13,1,0,16.0
502,0910,André Vilas Boas,Rio Ave,24,12,0,1,16.0
503,0910,Roberto,Marítimo,24,11,0,0,16.0
504,0910,Daniel Carriço,Sporting CP,25,11,1,0,16.0
505,0910,Nuno Assis,V. Guimarães,26,11,1,0,16.0
506,0910,Moreno,V. Guimarães,23,10,0,0,16.0
507,0910,Sílvio,Rio Ave,27,10,0,0,16.0
508,0910,Bruno Alves,FC Porto,27,10,0,0,16.0
509,0910,Patacas,Nacional,28,10,1,0,16.0
510,0910,Daniel Cruz,Naval,17,9,0,0,16.0
511,0910,João Pereira,"SC Braga, Sporting",25,9,0,0,16.0
512,0910,Javi García,SL Benfica,26,9,0,0,16.0
513,0910,Carlos Fernandes,Olhanense,26,9,0,1,16.0
514,0910,Ángel Di María,SL Benfica,26,9,0,1,16.0
515,0910,Fábio Faria,Rio Ave,27,9,0,0,16.0
516,0910,André Castro,Olhanense,28,9,0,0,16.0
517,0910,Miguel Garcia,"SC Braga, Olhanense",16,8,1,1,16.0
518,0910,Rui Baião,Olhanense,23,8,0,1,16.0
519,0910,Fábio Coentrão,SL Benfica,26,8,0,0,16.0
520,1011,Ney,V. Setúbal,23,16,2,0,17.0
521,1011,Pedro Silva,Portimonense,21,13,2,1,17.0
522,1011,André Leão,Paços Ferreira,25,12,0,0,17.0
523,1011,Maurício Fernandes,Olhanense,26,12,0,0,17.0
524,1011,Paulo Sérgio,U. Leiria,17,11,1,0,17.0
525,1011,Maxi Pereira,SL Benfica,26,11,0,0,17.0
526,1011,André Pinto,Portimonense,26,11,0,0,17.0
527,1011,Gaspar,Rio Ave,26,11,0,0,17.0
528,1011,Robson,Marítimo,26,11,1,1,17.0
529,1011,Alonso,Marítimo,22,10,1,1,17.0
530,1011,Tarantini,Rio Ave,28,10,0,0,17.0
531,1011,Alex,V. Guimarães,28,10,0,0,17.0
532,1011,Rui Miguel,V. Guimarães,21,9,0,0,17.0
533,1011,Sílvio,SC Braga,20,9,0,0,17.0
534,1011,Vandinho,SC Braga,23,9,1,0,17.0
535,1011,Fábio Coentrão,SL Benfica,23,9,2,0,17.0
536,1011,Valentin Roberge,Marítimo,25,9,0,0,17.0
537,1011,Luís Alberto,Nacional,25,9,1,0,17.0
538,1011,João Moutinho,FC Porto,27,9,0,0,17.0
539,1011,Ricardo Silva,V. Setúbal,26,9,1,0,17.0
