,Season,Player,Team,J,A,2A,VE,SeasonOrder
155,1819,Fransérgio,SC Braga,26,9,0,0,25.0
156,1819,Derley,Desp. Aves,30,9,0,0,25.0
157,1819,Zainadine Júnior,Marítimo,31,9,0,0,25.0
158,1819,Neris,Boavista,32,9,1,0,25.0
159,1819,Bruno Fernandes,Sporting CP,33,9,0,0,25.0
160,1920,José Semedo,V. Setúbal,29,14,2,0,26.0
161,1920,Mohamed Diaby,Paços Ferreira,27,13,0,0,26.0
162,1920,Yaw Ackah,Boavista,24,13,0,0,26.0
163,1920,Matheus Reis,Rio Ave,30,13,1,0,26.0
164,1920,Show,Belenenses,24,12,1,0,26.0
165,1920,Gustavo Assunção,Famalicão,30,12,0,0,26.0
166,1920,Ricardo Esgaio,SC Braga,30,12,0,0,26.0
167,1920,Fransérgio,SC Braga,26,11,0,1,26.0
168,1920,Carlinhos,V. Setúbal,30,11,0,0,26.0
169,1920,Filipe Augusto,Rio Ave,28,11,0,0,26.0
170,1920,Otávio,FC Porto,31,11,0,0,26.0
171,1920,Edgar Costa,Marítimo,27,10,0,1,26.0
172,1920,Rúben Ferreira,Marítimo,19,10,0,0,26.0
173,1920,Fabiano Leismann,Boavista,27,10,2,0,26.0
174,1920,Fábio Martins,Famalicão,29,10,1,1,26.0
175,1920,Sebastián Coates,Sporting CP,29,10,2,0,26.0
176,1920,Artur Jorge,V. Setúbal,30,10,0,0,26.0
177,1920,Willyan Rocha,Portimonense,16,9,1,0,26.0
178,1920,Nwankwo Obiora,Boavista,23,9,0,0,26.0
179,1920,Gabriel,SL Benfica,22,9,1,0,26.0
180,2021,Nicolás Otamendi,SL Benfica,23,12,0,0,27.0
181,2021,Fábio Pacheco,Moreirense,27,12,0,0,27.0
182,2021,Ygor Nogueira,Gil Vicente,22,11,1,1,27.0
183,2021,Fábio Cardoso,Santa Clara,24,11,1,0,27.0
184,2021,Henrique Buss,Belenenses,25,11,1,0,27.0
185,2021,João Afonso,Gil Vicente,20,10,1,0,27.0
186,2021,Larry Azouni,Nacional,23,10,0,0,27.0
187,2021,Gustavo Assunção,Famalicão,22,10,0,0,27.0
188,2021,Jean Irmer,Marítimo,25,10,1,0,27.0
189,2021,Bebeto,Tondela,21,9,1,0,27.0
190,2021,Pedro Augusto,Tondela,24,9,0,0,27.0
191,2021,Julian Weigl,SL Benfica,25,9,0,0,27.0
192,2021,Willyan Rocha,Portimonense,28,9,0,0,27.0
193,2021,Angel Gomes,Boavista,26,9,1,0,27.0
194,2021,Jorge Fernandes,V. Guimarães,26,9,0,1,27.0
195,2021,Pedrão,Nacional,26,9,0,0,27.0
196,2021,Dener,Portimonense,29,9,0,0,27.0
197,2021,Javi García,Boavista,20,8,2,0,27.0
198,2021,Anderson Carvalho,Santa Clara,26,8,0,0,27.0
199,2021,Renê Santos,Marítimo,24,8,0,0,27.0
200,9495,Sérgio Cruz,Gil Vicente,26,15,1,0,1.0
201,9495,Tanta,V. Guimarães,29,15,3,0,1.0
202,9495,King,Farense,29,15,3,0,1.0
203,9495,Bobó,Boavista,22,14,4,0,1.0
204,9495,Dragan Gacesa,U. Madeira,27,14,0,1,1.0
205,9495,Milton Mendes,U. Madeira,16,12,2,0,1.0
206,9495,Stevan Milovać,Salgueiros,26,12,0,0,1.0
207,9495,Pedro Miguel,Beira-Mar,27,12,1,1,1.0
208,9495,Paulinho,E. Amadora,31,12,1,0,1.0
209,9495,Chico Oliveira,Salgueiros,24,11,3,0,1.0
210,9495,Hugo Costa,Beira-Mar,26,11,3,0,1.0
211,9495,Sergei Yuran,FC Porto,23,10,2,0,1.0
212,9495,Bilro,U. Leiria,19,10,0,0,1.0
213,9495,Carlos Jorge,Marítimo,19,10,0,0,1.0
214,9495,Matias,V. Guimarães,20,10,1,0,1.0
215,9495,Cabral,Beira-Mar,30,10,2,0,1.0
216,9495,Claudio Caniggia,SL Benfica,24,10,0,2,1.0
217,9495,Mauro Airez,Belenenses,28,10,1,0,1.0
218,9495,Sérgio Duarte,Farense,28,10,0,0,1.0
219,9495,Tozé,Tirsense,29,10,1,0,1.0
220,9596,Sérgio Cruz,Gil Vicente,28,16,3,0,2.0
221,9596,Cao,Leça,26,15,2,1,2.0
222,9596,Rui Óscar,Leça,27,14,2,0,2.0
223,9596,Beto,Campomaiorense,18,13,3,0,2.0
224,9596,Lula,Belenenses,29,13,3,0,2.0
225,9596,Andrade,E. Amadora,26,12,1,0,2.0
226,9596,Costa,Felgueiras,27,12,1,0,2.0
227,9596,Eurico,Campomaiorense,28,12,1,1,2.0
228,9596,Artur Jorge,SC Braga,30,12,1,0,2.0
229,9596,Batista,Tirsense,30,12,0,0,2.0
230,9596,Sá Pinto,Sporting CP,26,11,1,0,2.0
231,9596,Paiva,Farense,30,11,2,0,2.0
232,9596,Stevan Milovac,Salgueiros,30,11,1,0,2.0
233,9596,Tahar El-Khalej,U. Leiria,22,10,3,1,2.0
234,9596,Jorge Costa,FC Porto,21,10,0,1,2.0
235,9596,Sérgio Abreu,SC Braga,25,10,0,0,2.0
236,9596,Gaspar,Tirsense,25,10,0,0,2.0
237,9596,Carlos Secretário,FC Porto,27,10,0,0,2.0
238,9596,Helcinho,Farense,29,10,1,0,2.0
239,9596,Litos,Boavista,27,10,1,0,2.0
240,9697,Peu,Rio Ave,27,17,3,0,3.0
241,9697,Filó,Sp. Espinho,25,14,3,0,3.0
242,9697,Paulito,U. Leiria,28,14,3,0,3.0
243,9697,Pedro Miguel,Farense,25,14,2,0,3.0
244,9697,Bilro,U. Leiria,31,14,1,0,3.0
245,9697,Chico Fonseca,Salgueiros,31,14,1,0,3.0
246,9697,Artur Jorge,SC Braga,32,14,1,0,3.0
247,9697,Alexandre,V. Guimarães,23,13,2,1,3.0
248,9697,Calado,SL Benfica,24,13,0,0,3.0
249,9697,Márcio Theodoro,Marítimo,26,13,2,0,3.0
250,9697,Mozer,SC Braga,31,13,1,2,3.0
