,Season,Player,Team,J,G,PEN,AG,MPG,GTIT,GSUP,GPTS,GVIT,GRVV,PGE,SeasonOrder
117,9900,Kwame Ayew,Sporting CP,26,7,0,0,209,6,1,0,0,0,12,6.0
118,9900,Cajú,"FC Alverca, FC Porto",19,7,0,0,230,7,0,0,1,0,18,6.0
119,9900,Hassan Nader,Farense,27,7,0,0,283,7,0,0,1,1,20,6.0
120,0001,Pena,FC Porto,29,22,0,0,111,21,1,0,5,0,30,7.0
121,0001,Pierre van Hooijdonk,SL Benfica,30,19,6,0,128,19,0,1,3,2,35,7.0
122,0001,João Tomás,SL Benfica,31,17,0,0,106,11,6,0,3,2,31,7.0
123,0001,Rafael,Paços Ferreira,31,17,0,0,145,17,0,2,0,0,36,7.0
124,0001,Hassan Nader,Farense,31,16,3,0,173,16,0,2,2,1,43,7.0
125,0001,Miki Fehér,SC Braga,26,14,0,0,165,14,0,0,4,0,24,7.0
126,0001,Beto Acosta,Sporting CP,32,14,3,0,191,14,0,0,4,1,25,7.0
127,0001,Marcão,Belenenses,30,13,0,0,162,13,0,0,3,0,30,7.0
128,0001,Derlei,U. Leiria,32,13,0,0,204,13,0,2,3,1,28,7.0
129,0001,Zé Roberto,SC Braga,17,12,0,0,100,10,2,0,1,1,21,7.0
130,0001,Elpídio Silva,Boavista,21,11,1,0,103,10,1,0,1,0,17,7.0
131,0001,Ricardo Sousa,Beira-Mar,27,11,1,0,201,10,1,0,5,2,24,7.0
132,0001,Edmilson,SC Braga,34,11,0,0,202,10,1,1,0,0,19,7.0
133,0001,Gaúcho,E. Amadora,33,11,1,0,244,10,1,0,1,0,37,7.0
134,0001,Duda,Boavista,33,10,0,0,219,10,0,0,1,0,16,7.0
135,0001,Pedro Mantorras,Alverca,25,9,0,0,192,7,2,0,1,1,20,7.0
136,0001,Paulo César,Gil Vicente,29,9,0,0,249,9,0,1,0,0,26,7.0
137,0001,João Pedro,Salgueiros,32,9,0,0,281,8,1,1,2,0,22,7.0
138,0001,Quim Ferraz,Marítimo,21,8,0,0,126,7,1,0,3,1,24,7.0
139,0001,Lagorio,Marítimo,16,8,2,0,154,8,0,0,1,0,24,7.0
140,0102,Mário Jardel,Sporting CP,30,42,15,0,64,42,0,3,5,0,57,8.0
141,0102,Derlei,U. Leiria,33,21,5,0,141,21,0,1,4,0,40,8.0
142,0102,Fary Faye,Beira-Mar,31,18,1,0,123,15,3,1,2,0,38,8.0
143,0102,Hugo Henrique,V. Setúbal,32,16,3,0,131,11,5,2,2,1,40,8.0
144,0102,Gaúcho,Marítimo,30,15,3,0,143,15,0,0,4,1,31,8.0
145,0102,Barata,SC Braga,30,15,1,0,148,14,1,1,4,1,35,8.0
146,0102,Leonardo,Paços Ferreira,33,14,0,0,185,14,0,1,3,0,34,8.0
147,0102,Deco,FC Porto,30,13,1,0,195,13,0,1,3,1,20,8.0
148,0102,Pedro Mantorras,SL Benfica,30,13,0,0,198,13,0,1,4,2,20,8.0
149,0102,Benni McCarthy,FC Porto,11,12,0,0,68,12,0,0,1,0,18,8.0
150,0102,João Pedro,Salgueiros,34,12,1,0,240,11,1,1,0,0,41,8.0
151,0102,Paulo Alves,Gil Vicente,27,11,1,0,173,8,3,1,1,1,26,8.0
152,0102,Simão Sabrosa,SL Benfica,26,11,3,0,208,11,0,0,0,0,17,8.0
153,0102,Jacques,U. Leiria,27,10,1,0,183,7,3,0,0,0,19,8.0
154,0102,Cajú,Alverca,26,10,4,0,184,8,2,2,1,0,26,8.0
155,0102,Fangueiro,V. Guimarães,30,10,2,0,209,9,1,0,2,1,29,8.0
156,0102,Maciel,U. Leiria,30,10,0,0,229,10,0,1,0,0,19,8.0
157,0102,Hélder Postiga,FC Porto,27,9,0,0,131,4,5,0,1,1,14,8.0
158,0102,João Vieira Pinto,Sporting CP,33,9,0,0,307,9,0,0,2,0,12,8.0
159,0102,Edgaras Jankauskas,SL Benfica,12,8,0,0,109,6,2,0,1,0,12,8.0
160,0203,Fary Faye,Beira-Mar,31,18,0,0,137,17,1,0,2,1,42,
161,0203,Simão Sabrosa,SL Benfica,33,18,9,0,162,18,0,1,3,1,24,
162,0203,Adriano,Nacional,29,16,0,0,149,15,1,2,0,0,40,
163,0203,Gaúcho,Marítimo,32,15,0,0,165,15,0,0,5,0,42,
164,0203,Hélder Postiga,FC Porto,31,13,0,0,155,13,0,1,1,0,18,
165,0203,Tiago,SL Benfica,31,13,0,0,200,13,0,0,1,0,18,
166,0203,Maciel,U. Leiria,32,12,0,0,221,11,1,1,2,0,24,
167,0203,Barroso,SC Braga,33,12,5,0,230,10,2,1,1,0,35,
168,0203,Paulo Alves,Gil Vicente,30,11,2,0,129,8,3,0,1,0,26,
169,0203,Mário Jardel,Sporting CP,19,11,5,0,145,10,1,1,1,0,21,
170,0203,Dário,Académica,30,11,0,0,220,10,1,2,2,1,29,
171,0203,Ricardo Sousa,Beira-Mar,33,11,4,0,258,11,0,2,0,0,26,
172,0203,Demétrius,Moreirense,26,10,0,0,100,3,7,2,2,1,24,
173,0203,Manoel,Gil Vicente,29,10,0,0,213,7,3,0,2,0,24,
174,0203,Elpídio Silva,Boavista,30,10,1,0,227,10,0,2,2,0,31,
175,0203,Romeu,V. Guimarães,28,10,0,0,234,8,2,1,2,1,21,
176,0203,Fabrício Ceará,Santa Clara,31,10,1,0,242,8,2,0,1,1,26,
177,0203,Deco,FC Porto,30,10,0,0,255,10,0,0,3,1,14,
178,0203,Jorginho,V. Setúbal,31,10,0,0,270,10,0,3,2,0,25,
179,0203,Edgaras Jankauskas,FC Porto,30,9,1,0,134,1,8,1,2,0,12,
180,0304,Benni McCarthy,FC Porto,29,20,4,0,99,18,2,0,6,0,32,
181,0304,Adriano Louzada,Nacional,29,19,0,0,136,19,0,0,4,1,34,
182,0304,Liedson,Sporting CP,30,15,0,0,172,15,0,0,2,1,25,
183,0304,Evandro,Rio Ave,33,15,3,0,176,14,1,0,2,0,36,
184,0304,Ricardo Sousa,Boavista,32,14,2,0,192,14,0,3,2,0,44,
185,0304,Derlei,FC Porto,18,13,1,0,109,13,0,0,0,0,21,
186,0304,Ferreira,Gil Vicente,30,12,0,0,203,12,0,1,2,0,28,
187,0304,Simão Sabrosa,SL Benfica,31,12,3,0,226,12,0,2,2,0,19,
188,0304,Tomo Sokota,SL Benfica,29,11,0,0,209,11,0,0,1,0,18,
189,0304,Wender,SC Braga,31,11,4,0,232,11,0,0,3,1,31,
190,0304,Zé Manuel,Paços Ferreira,31,11,0,0,234,11,0,0,2,1,41,
191,0304,Serginho Baiano,Nacional,29,10,0,0,231,10,0,0,1,0,18,
192,0304,Júlio César,E. Amadora,30,10,1,0,234,9,1,2,0,0,45,
193,0304,Henri Antchouet,Belenenses,30,10,0,0,250,10,0,0,2,0,29,
194,0304,Rodolfo Lima,Alverca,33,10,0,0,277,8,0,1,2,0,30,
195,0304,Douala,U. Leiria,33,10,0,0,291,10,0,3,0,0,23,
196,0304,Rossato,Nacional,34,10,0,0,297,10,0,0,3,1,18,
197,0304,Clyde Wijnhard,Beira-Mar,29,9,2,1,221,9,0,1,1,1,25,
198,0304,Pedro Barbosa,Sporting CP,27,9,5,0,244,9,0,1,2,1,15,
199,0304,Alan,Marítimo,34,9,0,0,333,9,0,2,3,1,26,
200,0405,Liedson,Sporting CP,31,25,4,0,108,25,0,0,2,0,38,11.0
201,0405,João Tomás,SC Braga,29,15,0,0,157,15,0,1,4,1,33,11.0
202,0405,Simão Sabrosa,SL Benfica,34,15,4,0,204,15,0,2,3,1,29,11.0
203,0405,Wesley Lopes,Penafiel,30,14,3,0,163,14,0,1,2,0,36,11.0
204,0405,Henri Antchouet,Belenenses,26,12,0,0,175,12,0,1,1,0,32,11.0
205,0405,Benni McCarthy,FC Porto,23,11,0,0,148,9,2,0,4,1,28,11.0
206,0405,Meyong,V. Setúbal,33,11,2,0,191,9,2,0,1,0,24,11.0
207,0405,Zé Manuel,Boavista,30,10,4,0,254,10,0,1,2,1,26,11.0
208,0405,Roberto,Penafiel,31,9,0,0,257,9,0,0,1,0,23,11.0
209,0405,Wender,SC Braga,33,9,3,0,308,9,0,2,1,1,20,11.0
210,0405,Jorginho,V. Setúbal,32,9,3,0,313,9,0,1,0,0,20,11.0
211,0405,Pena,Marítimo,25,8,0,0,226,8,0,0,1,0,21,11.0
212,0405,Adriano,Nacional,31,8,0,0,275,7,1,2,2,0,17,11.0
213,0405,Santiago Silva,Beira-Mar,30,8,0,0,285,8,0,1,1,0,27,11.0
214,0405,Arrieta,Estoril,21,7,1,0,185,7,0,0,1,1,18,11.0
215,0405,Nuno Gomes,SL Benfica,23,7,0,0,224,7,0,0,1,0,14,11.0
216,0405,Carlos Carneiro,"Gil Vicente, V. Guimarães",28,7,0,0,265,7,0,0,2,0,21,11.0
217,0405,Silva,V. Guimarães,23,7,0,0,266,7,0,0,0,0,18,11.0
218,0405,Nandinho,Gil Vicente,30,7,0,0,307,7,0,0,3,0,21,11.0
219,0405,Ousmane N’Doye,"FC Penafiel, Estoril Praia",27,7,1,0,310,7,0,0,3,0,10,11.0
220,0506,Meyong,Belenenses,26,17,5,0,130,17,0,0,3,0,43,12.0
221,0506,Nuno Gomes,SL Benfica,29,15,1,0,163,14,1,1,4,0,29,12.0
222,0506,João Tomás,SC Braga,30,15,3,0,169,15,0,2,1,0,39,12.0
223,0506,Liedson,Sporting CP,31,15,0,0,181,15,0,1,4,0,30,12.0
224,0506,André Pinto,Nacional,30,14,1,0,155,12,2,0,2,1,35,12.0
225,0506,Joeano,Académica,28,13,2,0,114,12,1,1,1,0,35,12.0
226,0506,Marek Saganowski,V. Guimarães,32,12,0,0,225,12,0,3,3,0,43,12.0
227,0506,Alexandre Goulart,Nacional,31,11,3,0,228,11,0,0,0,0,28,12.0
228,0506,Lucho González,FC Porto,30,10,2,0,260,10,0,0,1,0,19,12.0
229,0506,Gaúcho,Rio Ave,33,10,0,0,280,10,0,1,0,0,29,12.0
230,0506,Marcel,"Académica OAF, Benfica",23,9,3,0,183,9,0,2,3,0,24,12.0
