,Season,Jogador,J,G,PEN,AG,MPG,GTIT,GSUP,GPTS,GVIT,GRVV,PGE
16,0102,Maciel [UD Leiria],30.0,10.0,0.0,0.0,229.0,10.0,0.0,1.0,0.0,0.0,19.0
17,0102,Hélder Postiga [FC Porto],27.0,9.0,0.0,0.0,131.0,4.0,5.0,0.0,1.0,1.0,14.0
18,0102,João Vieira Pinto [Sporting],33.0,9.0,0.0,0.0,307.0,9.0,0.0,0.0,2.0,0.0,12.0
19,0102,Edgaras Jankauskas [Benfica],12.0,8.0,0.0,0.0,109.0,6.0,2.0,0.0,1.0,0.0,12.0
0,0203,Fary Faye [Beira-Mar],31.0,18.0,0.0,0.0,137.0,17.0,1.0,0.0,2.0,1.0,42.0
1,0203,Simão Sabrosa [Benfica],33.0,18.0,9.0,0.0,162.0,18.0,0.0,1.0,3.0,1.0,24.0
2,0203,Adriano [Nacional],29.0,16.0,0.0,0.0,149.0,15.0,1.0,2.0,0.0,0.0,40.0
3,0203,Gaúcho [Marítimo],32.0,15.0,0.0,0.0,165.0,15.0,0.0,0.0,5.0,0.0,42.0
4,0203,Hélder Postiga [FC Porto],31.0,13.0,0.0,0.0,155.0,13.0,0.0,1.0,1.0,0.0,18.0
5,0203,Tiago [Benfica],31.0,13.0,0.0,0.0,200.0,13.0,0.0,0.0,1.0,0.0,18.0
6,0203,Maciel [UD Leiria],32.0,12.0,0.0,0.0,221.0,11.0,1.0,1.0,2.0,0.0,24.0
7,0203,Barroso [SC Braga],33.0,12.0,5.0,0.0,230.0,10.0,2.0,1.0,1.0,0.0,35.0
8,0203,Paulo Alves [Gil Vicente],30.0,11.0,2.0,0.0,129.0,8.0,3.0,0.0,1.0,0.0,26.0
9,0203,Mário Jardel [Sporting],19.0,11.0,5.0,0.0,145.0,10.0,1.0,1.0,1.0,0.0,21.0
10,0203,Dário [Académica OAF],30.0,11.0,0.0,0.0,220.0,10.0,1.0,2.0,2.0,1.0,29.0
11,0203,Ricardo Sousa [Beira-Mar],33.0,11.0,4.0,0.0,258.0,11.0,0.0,2.0,0.0,0.0,26.0
12,0203,Demétrius [Moreirense],26.0,10.0,0.0,0.0,100.0,3.0,7.0,2.0,2.0,1.0,24.0
13,0203,Manoel [Gil Vicente],29.0,10.0,0.0,0.0,213.0,7.0,3.0,0.0,2.0,0.0,24.0
14,0203,Elpídio Silva [Boavista],30.0,10.0,1.0,0.0,227.0,10.0,0.0,2.0,2.0,0.0,31.0
