,Season,Equipa,J,A,2A,VE
17,0405,V. Setúbal,34.0,69.0,2.0,1.0
0,0506,Naval,34.0,123.0,7.0,3.0
1,0506,Est. Amadora,34.0,118.0,3.0,5.0
2,0506,Gil Vicente,34.0,117.0,4.0,6.0
3,0506,V. Guimarães,34.0,115.0,3.0,6.0
4,0506,Paços de Ferreira,34.0,101.0,0.0,0.0
5,0506,Marítimo,34.0,100.0,5.0,3.0
6,0506,FC Penafiel,34.0,99.0,5.0,3.0
7,0506,Académica OAF,34.0,99.0,6.0,5.0
8,0506,Boavista,34.0,99.0,6.0,5.0
9,0506,Rio Ave,34.0,89.0,4.0,4.0
10,0506,UD Leiria,34.0,89.0,3.0,1.0
11,0506,Nacional,34.0,87.0,1.0,2.0
12,0506,Belenenses,34.0,83.0,3.0,1.0
13,0506,Benfica,34.0,82.0,3.0,1.0
14,0506,SC Braga,34.0,80.0,3.0,1.0
15,0506,FC Porto,34.0,72.0,3.0,1.0
16,0506,Sporting,34.0,71.0,1.0,2.0
17,0506,V. Setúbal,34.0,64.0,0.0,1.0
0,0607,Est. Amadora,30.0,94.0,5.0,3.0
1,0607,CD Aves,30.0,91.0,2.0,1.0
2,0607,Paços de Ferreira,30.0,87.0,6.0,3.0
3,0607,Marítimo,30.0,84.0,0.0,4.0
4,0607,Boavista,30.0,79.0,6.0,2.0
5,0607,SC Braga,30.0,79.0,4.0,5.0
6,0607,Académica OAF,30.0,79.0,6.0,2.0
7,0607,UD Leiria,30.0,78.0,4.0,1.0
8,0607,Belenenses,30.0,76.0,2.0,2.0
9,0607,V. Setúbal,30.0,76.0,3.0,1.0
10,0607,Nacional,30.0,74.0,3.0,0.0
11,0607,Beira-Mar,30.0,65.0,4.0,5.0
12,0607,FC Porto,30.0,65.0,0.0,1.0
13,0607,Naval,30.0,64.0,3.0,3.0
14,0607,Benfica,30.0,62.0,4.0,2.0
15,0607,Sporting,30.0,60.0,3.0,1.0
0,0708,SC Braga,30.0,95.0,5.0,2.0
1,0708,UD Leiria,30.0,86.0,4.0,5.0
2,0708,Boavista,30.0,84.0,7.0,2.0
3,0708,Paços de Ferreira,30.0,80.0,1.0,2.0
