,Season,Jogador,J,G,ASS,INF,PINF
18,0910,Neca [V. Setúbal],11.0,2.0,4.0,6.0,21.0
19,0910,Luis Aguiar [SC Braga],14.0,3.0,4.0,7.0,15.0
0,1011,Hulk [FC Porto],26.0,23.0,13.0,36.0,49.0
1,1011,James Rodríguez [FC Porto],15.0,2.0,10.0,12.0,16.0
2,1011,Artur [Beira-Mar],26.0,4.0,8.0,12.0,38.0
3,1011,Saviola [Benfica],24.0,9.0,7.0,16.0,26.0
4,1011,Bruno Gama [Rio Ave],29.0,2.0,7.0,9.0,26.0
5,1011,Pablo Aimar [Benfica],23.0,5.0,6.0,11.0,18.0
6,1011,Fernando Belluschi [FC Porto],26.0,2.0,6.0,8.0,11.0
7,1011,Paulo Sérgio [Olhanense],24.0,2.0,6.0,8.0,33.0
8,1011,João Moutinho [FC Porto],27.0,0.0,6.0,6.0,8.0
9,1011,Daniel Candeias [Portimonense],28.0,1.0,6.0,7.0,24.0
10,1011,Rúben Micael [FC Porto],19.0,0.0,5.0,5.0,7.0
11,1011,Mateus [Nacional],23.0,2.0,5.0,7.0,25.0
12,1011,Álvaro Pereira [FC Porto],21.0,0.0,5.0,5.0,7.0
13,1011,Nico Gaitán [Benfica],26.0,7.0,5.0,12.0,20.0
14,1011,Diogo Valente [Académica OAF],29.0,2.0,5.0,7.0,22.0
15,1011,Alan [SC Braga],27.0,5.0,5.0,10.0,22.0
16,1011,Modou Sougou [Académica OAF],28.0,6.0,5.0,11.0,34.0
17,1011,Selim Benachour [Marítimo],11.0,2.0,4.0,6.0,18.0
18,1011,Márcio Mossoró [SC Braga],21.0,3.0,4.0,7.0,16.0
19,1011,Jaime Valdés [Sporting],23.0,5.0,4.0,9.0,22.0
0,1112,Hulk [FC Porto],26.0,16.0,10.0,26.0,38.0
1,1112,Pablo Aimar [Benfica],24.0,2.0,9.0,11.0,17.0
2,1112,James Rodríguez [FC Porto],26.0,13.0,9.0,22.0,32.0
3,1112,Nolito [Benfica],29.0,11.0,8.0,19.0,29.0
4,1112,Danilo Dias [Marítimo],30.0,8.0,8.0,16.0,39.0
5,1112,Nico Gaitán [Benfica],25.0,3.0,7.0,10.0,15.0
6,1112,Alan [SC Braga],23.0,3.0,7.0,10.0,17.0
7,1112,Wilson Eduardo [Olhanense],27.0,7.0,7.0,14.0,39.0
8,1112,Christian Atsu [Rio Ave],27.0,6.0,6.0,12.0,36.0
9,1112,Salvador Agra [Olhanense],27.0,4.0,6.0,10.0,28.0
