,Season,Round,HomeTeam,AwayTeam
3850,2010-2011,9,U. Leiria,Sporting
3851,2010-2011,9,V. Guimarães,Portimonense
3852,2010-2011,10,V. Setúbal,Rio Ave
3853,2010-2011,10,Paços Ferreira,Nacional
3854,2010-2011,10,Portimonense,Académica
3855,2010-2011,10,Marítimo,U. Leiria
3856,2010-2011,10,Naval 1º Maio,Olhanense
3857,2010-2011,10,Sp. Braga,Beira-Mar
3858,2010-2011,10,FC Porto,Benfica
3859,2010-2011,10,Sporting,V. Guimarães
3860,2010-2011,11,Nacional,Marítimo
3861,2010-2011,11,V. Guimarães,Sp. Braga
3862,2010-2011,11,Académica,Sporting
3863,2010-2011,11,U. Leiria,V. Setúbal
3864,2010-2011,11,Rio Ave,Paços Ferreira
3865,2010-2011,11,Olhanense,Beira-Mar
3866,2010-2011,11,Benfica,Naval 1º Maio
3867,2010-2011,11,FC Porto,Portimonense
3868,2010-2011,12,V. Setúbal,Académica
3869,2010-2011,12,Paços Ferreira,Olhanense
3870,2010-2011,12,Marítimo,V. Guimarães
3871,2010-2011,12,Sporting,FC Porto
3872,2010-2011,12,Naval 1º Maio,Rio Ave
3873,2010-2011,12,Beira-Mar,Benfica
3874,2010-2011,12,Sp. Braga,Nacional
3875,2010-2011,12,Portimonense,U. Leiria
3876,2010-2011,13,Benfica,Olhanense
3877,2010-2011,13,V. Guimarães,Paços Ferreira
3878,2010-2011,13,U. Leiria,Sp. Braga
3879,2010-2011,13,Rio Ave,Beira-Mar
3880,2010-2011,13,Portimonense,Sporting
3881,2010-2011,13,FC Porto,V. Setúbal
3882,2010-2011,13,Nacional,Naval 1º Maio
3883,2010-2011,13,Académica,Marítimo
3884,2010-2011,14,Sp. Braga,Académica
3885,2010-2011,14,Benfica,Rio Ave
3886,2010-2011,14,Beira-Mar,V. Guimarães
3887,2010-2011,14,Marítimo,Portimonense
3888,2010-2011,14,Naval 1º Maio,U. Leiria
3889,2010-2011,14,Olhanense,Nacional
3890,2010-2011,14,Paços Ferreira,FC Porto
3891,2010-2011,14,V. Setúbal,Sporting
3892,2010-2011,15,Portimonense,V. Setúbal
3893,2010-2011,15,FC Porto,Marítimo
3894,2010-2011,15,Sporting,Sp. Braga
3895,2010-2011,15,Rio Ave,Olhanense
3896,2010-2011,15,Nacional,Beira-Mar
3897,2010-2011,15,Académica,Paços Ferreira
3898,2010-2011,15,V. Guimarães,Naval 1º Maio
3899,2010-2011,15,U. Leiria,Benfica
3900,2010-2011,16,Portimonense,Sp. Braga
3901,2010-2011,16,V. Guimarães,Olhanense
3902,2010-2011,16,Sporting,Paços Ferreira
3903,2010-2011,16,U. Leiria,Beira-Mar
3904,2010-2011,16,V. Setúbal,Marítimo
3905,2010-2011,16,Nacional,Rio Ave
3906,2010-2011,16,FC Porto,Naval 1º Maio
3907,2010-2011,16,Académica,Benfica
3908,2010-2011,17,Olhanense,Académica
3909,2010-2011,17,Paços Ferreira,U. Leiria
3910,2010-2011,17,Sp. Braga,V. Setúbal
3911,2010-2011,17,Rio Ave,V. Guimarães
3912,2010-2011,17,Beira-Mar,FC Porto
3913,2010-2011,17,Naval 1º Maio,Portimonense
3914,2010-2011,17,Benfica,Nacional
3915,2010-2011,17,Marítimo,Sporting
3916,2010-2011,18,Sporting,Naval 1º Maio
3917,2010-2011,18,Marítimo,Sp. Braga
3918,2010-2011,18,U. Leiria,Olhanense
3919,2010-2011,18,Académica,Beira-Mar
3920,2010-2011,18,V. Guimarães,Nacional
3921,2010-2011,18,Portimonense,Paços Ferreira
3922,2010-2011,18,FC Porto,Rio Ave
3923,2010-2011,18,V. Setúbal,Benfica
3924,2010-2011,19,Nacional,U. Leiria
3925,2010-2011,19,Olhanense,Sporting
3926,2010-2011,19,Paços Ferreira,Marítimo
3927,2010-2011,19,Rio Ave,Portimonense
3928,2010-2011,19,Naval 1º Maio,Académica
3929,2010-2011,19,Benfica,V. Guimarães
3930,2010-2011,19,Sp. Braga,FC Porto
3931,2010-2011,19,Beira-Mar,V. Setúbal
3932,2010-2011,20,FC Porto,Nacional
3933,2010-2011,20,U. Leiria,V. Guimarães
3934,2010-2011,20,Portimonense,Olhanense
3935,2010-2011,20,V. Setúbal,Naval 1º Maio
3936,2010-2011,20,Académica,Rio Ave
3937,2010-2011,20,Marítimo,Beira-Mar
3938,2010-2011,20,Sp. Braga,Paços Ferreira
3939,2010-2011,20,Sporting,Benfica
3940,2010-2011,21,V. Guimarães,Académica
3941,2010-2011,21,Paços Ferreira,V. Setúbal
3942,2010-2011,21,Olhanense,FC Porto
3943,2010-2011,21,Rio Ave,U. Leiria
3944,2010-2011,21,Beira-Mar,Portimonense
3945,2010-2011,21,Benfica,Marítimo
3946,2010-2011,21,Nacional,Sporting
3947,2010-2011,21,Naval 1º Maio,Sp. Braga
3948,2010-2011,22,Académica,U. Leiria
3949,2010-2011,22,FC Porto,V. Guimarães
3950,2010-2011,22,V. Setúbal,Olhanense
3951,2010-2011,22,Marítimo,Rio Ave
3952,2010-2011,22,Sporting,Beira-Mar
3953,2010-2011,22,Sp. Braga,Benfica
3954,2010-2011,22,Paços Ferreira,Naval 1º Maio
3955,2010-2011,22,Portimonense,Nacional
3956,2010-2011,23,Beira-Mar,Paços Ferreira
3957,2010-2011,23,Rio Ave,Sporting
3958,2010-2011,23,V. Guimarães,V. Setúbal
3959,2010-2011,23,Naval 1º Maio,Marítimo
3960,2010-2011,23,Nacional,Académica
3961,2010-2011,23,Benfica,Portimonense
3962,2010-2011,23,U. Leiria,FC Porto
3963,2010-2011,23,Olhanense,Sp. Braga
3964,2010-2011,24,Portimonense,V. Guimarães
3965,2010-2011,24,Sporting,U. Leiria
3966,2010-2011,24,Naval 1º Maio,Beira-Mar
3967,2010-2011,24,Marítimo,Olhanense
3968,2010-2011,24,V. Setúbal,Nacional
3969,2010-2011,24,FC Porto,Académica
3970,2010-2011,24,Sp. Braga,Rio Ave
3971,2010-2011,24,Paços Ferreira,Benfica
3972,2010-2011,25,U. Leiria,Marítimo
3973,2010-2011,25,Académica,Portimonense
3974,2010-2011,25,Beira-Mar,Sp. Braga
3975,2010-2011,25,Rio Ave,V. Setúbal
3976,2010-2011,25,Olhanense,Naval 1º Maio
3977,2010-2011,25,V. Guimarães,Sporting
3978,2010-2011,25,Benfica,FC Porto
3979,2010-2011,25,Nacional,Paços Ferreira
3980,2010-2011,26,Marítimo,Nacional
3981,2010-2011,26,Sporting,Académica
3982,2010-2011,26,Beira-Mar,Olhanense
3983,2010-2011,26,Paços Ferreira,Rio Ave
3984,2010-2011,26,V. Setúbal,U. Leiria
3985,2010-2011,26,Portimonense,FC Porto
3986,2010-2011,26,Naval 1º Maio,Benfica
3987,2010-2011,26,Sp. Braga,V. Guimarães
3988,2010-2011,27,Académica,V. Setúbal
3989,2010-2011,27,Olhanense,Paços Ferreira
3990,2010-2011,27,V. Guimarães,Marítimo
3991,2010-2011,27,U. Leiria,Portimonense
3992,2010-2011,27,Rio Ave,Naval 1º Maio
3993,2010-2011,27,Benfica,Beira-Mar
3994,2010-2011,27,FC Porto,Sporting
3995,2010-2011,27,Nacional,Sp. Braga
3996,2010-2011,28,Paços Ferreira,V. Guimarães
3997,2010-2011,28,Sporting,Portimonense
3998,2010-2011,28,Beira-Mar,Rio Ave
3999,2010-2011,28,Sp. Braga,U. Leiria
4000,2010-2011,28,Naval 1º Maio,Nacional
4001,2010-2011,28,Marítimo,Académica
4002,2010-2011,28,Olhanense,Benfica
4003,2010-2011,28,V. Setúbal,FC Porto
4004,2010-2011,29,V. Guimarães,Beira-Mar
4005,2010-2011,29,U. Leiria,Naval 1º Maio
4006,2010-2011,29,Académica,Sp. Braga
4007,2010-2011,29,Sporting,V. Setúbal
4008,2010-2011,29,Portimonense,Marítimo
4009,2010-2011,29,Nacional,Olhanense
4010,2010-2011,29,Rio Ave,Benfica
4011,2010-2011,29,FC Porto,Paços Ferreira
4012,2010-2011,30,Marítimo,FC Porto
4013,2010-2011,30,Paços Ferreira,Académica
4014,2010-2011,30,V. Setúbal,Portimonense
4015,2010-2011,30,Olhanense,Rio Ave
4016,2010-2011,30,Beira-Mar,Nacional
4017,2010-2011,30,Benfica,U. Leiria
4018,2010-2011,30,Sp. Braga,Sporting
4019,2010-2011,30,Naval 1º Maio,V. Guimarães
4020,2011-2012,1,Gil Vicente,Benfica
4021,2011-2012,1,Rio Ave,Sp. Braga
4022,2011-2012,1,Sporting,Olhanense
4023,2011-2012,1,Marítimo,Beira-Mar
4024,2011-2012,1,Feirense,Nacional
4025,2011-2012,1,V. Setúbal,Paços Ferreira
4026,2011-2012,1,V. Guimarães,FC Porto
4027,2011-2012,1,U. Leiria,Académica
4028,2011-2012,2,FC Porto,Gil Vicente
4029,2011-2012,2,Benfica,Feirense
4030,2011-2012,2,Paços Ferreira,U. Leiria
4031,2011-2012,2,Académica,Rio Ave
4032,2011-2012,2,Beira-Mar,Sporting
4033,2011-2012,2,Sp. Braga,Marítimo
4034,2011-2012,2,Olhanense,V. Setúbal
4035,2011-2012,2,Nacional,V. Guimarães
4036,2011-2012,3,Gil Vicente,Académica
4037,2011-2012,3,Rio Ave,Olhanense
4038,2011-2012,3,V. Guimarães,Beira-Mar
4039,2011-2012,3,Feirense,Paços Ferreira
4040,2011-2012,3,Sporting,Marítimo
4041,2011-2012,3,V. Setúbal,Sp. Braga
4042,2011-2012,3,Nacional,Benfica
4043,2011-2012,3,U. Leiria,FC Porto
4044,2011-2012,4,FC Porto,V. Setúbal
4045,2011-2012,4,Benfica,V. Guimarães
4046,2011-2012,4,Paços Ferreira,Sporting
4047,2011-2012,4,Beira-Mar,U. Leiria
4048,2011-2012,4,Olhanense,Feirense
4049,2011-2012,4,Sp. Braga,Gil Vicente
4050,2011-2012,4,Marítimo,Rio Ave
4051,2011-2012,4,Académica,Nacional
4052,2011-2012,5,Gil Vicente,Olhanense
4053,2011-2012,5,Nacional,Paços Ferreira
4054,2011-2012,5,U. Leiria,Marítimo
4055,2011-2012,5,V. Setúbal,Beira-Mar
4056,2011-2012,5,Feirense,FC Porto
4057,2011-2012,5,Benfica,Académica
4058,2011-2012,5,V. Guimarães,Sp. Braga
4059,2011-2012,5,Rio Ave,Sporting
4060,2011-2012,6,FC Porto,Benfica
4061,2011-2012,6,Sp. Braga,Nacional
4062,2011-2012,6,Sporting,V. Setúbal
4063,2011-2012,6,Beira-Mar,Rio Ave
4064,2011-2012,6,Paços Ferreira,Gil Vicente
4065,2011-2012,6,Olhanense,U. Leiria
4066,2011-2012,6,Marítimo,V. Guimarães
4067,2011-2012,6,Académica,Feirense
4068,2011-2012,7,V. Setúbal,Rio Ave
4069,2011-2012,7,Benfica,Paços Ferreira
4070,2011-2012,7,Feirense,Marítimo
4071,2011-2012,7,Nacional,Olhanense
4072,2011-2012,7,U. Leiria,Sp. Braga
4073,2011-2012,7,V. Guimarães,Sporting
4074,2011-2012,7,Académica,FC Porto
4075,2011-2012,7,Gil Vicente,Beira-Mar
4076,2011-2012,8,Paços Ferreira,Académica
4077,2011-2012,8,Olhanense,V. Guimarães
4078,2011-2012,8,Beira-Mar,Benfica
4079,2011-2012,8,Rio Ave,U. Leiria
4080,2011-2012,8,Marítimo,V. Setúbal
4081,2011-2012,8,FC Porto,Nacional
4082,2011-2012,8,Sp. Braga,Feirense
4083,2011-2012,8,Sporting,Gil Vicente
4084,2011-2012,9,FC Porto,Paços Ferreira
4085,2011-2012,9,Académica,Sp. Braga
4086,2011-2012,9,Benfica,Olhanense
4087,2011-2012,9,Nacional,Beira-Mar
4088,2011-2012,9,U. Leiria,V. Setúbal
4089,2011-2012,9,V. Guimarães,Rio Ave
4090,2011-2012,9,Feirense,Sporting
4091,2011-2012,9,Gil Vicente,Marítimo
4092,2011-2012,10,Paços Ferreira,V. Guimarães
4093,2011-2012,10,Marítimo,Académica
4094,2011-2012,10,Olhanense,FC Porto
4095,2011-2012,10,Rio Ave,Nacional
4096,2011-2012,10,Beira-Mar,Feirense
4097,2011-2012,10,V. Setúbal,Gil Vicente
4098,2011-2012,10,Sp. Braga,Benfica
4099,2011-2012,10,Sporting,U. Leiria
4100,2011-2012,11,Académica,Beira-Mar
4101,2011-2012,11,Nacional,Marítimo
4102,2011-2012,11,Benfica,Sporting
4103,2011-2012,11,Feirense,Rio Ave
4104,2011-2012,11,Gil Vicente,U. Leiria
4105,2011-2012,11,FC Porto,Sp. Braga
4106,2011-2012,11,Paços Ferreira,Olhanense
4107,2011-2012,11,V. Guimarães,V. Setúbal
4108,2011-2012,12,Sp. Braga,Paços Ferreira
4109,2011-2012,12,Beira-Mar,FC Porto
4110,2011-2012,12,Sporting,Nacional
4111,2011-2012,12,Rio Ave,Gil Vicente
4112,2011-2012,12,V. Setúbal,Feirense
4113,2011-2012,12,U. Leiria,V. Guimarães
4114,2011-2012,12,Marítimo,Benfica
4115,2011-2012,12,Olhanense,Académica
4116,2011-2012,13,Benfica,Rio Ave
4117,2011-2012,13,V. Guimarães,Gil Vicente
4118,2011-2012,13,FC Porto,Marítimo
4119,2011-2012,13,Paços Ferreira,Beira-Mar
4120,2011-2012,13,Feirense,U. Leiria
4121,2011-2012,13,Nacional,V. Setúbal
4122,2011-2012,13,Académica,Sporting
4123,2011-2012,13,Olhanense,Sp. Braga
4124,2011-2012,14,V. Setúbal,Académica
4125,2011-2012,14,Sporting,FC Porto
4126,2011-2012,14,Gil Vicente,Nacional
4127,2011-2012,14,Rio Ave,Paços Ferreira
4128,2011-2012,14,Marítimo,Olhanense
4129,2011-2012,14,U. Leiria,Benfica
4130,2011-2012,14,V. Guimarães,Feirense
4131,2011-2012,14,Beira-Mar,Sp. Braga
4132,2011-2012,15,Paços Ferreira,Marítimo
4133,2011-2012,15,Feirense,Gil Vicente
4134,2011-2012,15,Benfica,V. Setúbal
4135,2011-2012,15,FC Porto,Rio Ave
4136,2011-2012,15,Nacional,U. Leiria
4137,2011-2012,15,Olhanense,Beira-Mar
4138,2011-2012,15,Académica,V. Guimarães
4139,2011-2012,15,Sp. Braga,Sporting
4140,2011-2012,16,Académica,U. Leiria
4141,2011-2012,16,Beira-Mar,Marítimo
4142,2011-2012,16,Paços Ferreira,V. Setúbal
4143,2011-2012,16,Nacional,Feirense
4144,2011-2012,16,Sp. Braga,Rio Ave
4145,2011-2012,16,FC Porto,V. Guimarães
4146,2011-2012,16,Benfica,Gil Vicente
4147,2011-2012,16,Olhanense,Sporting
4148,2011-2012,17,V. Guimarães,Nacional
4149,2011-2012,17,Rio Ave,Académica
4150,2011-2012,17,Feirense,Benfica
4151,2011-2012,17,V. Setúbal,Olhanense
4152,2011-2012,17,U. Leiria,Paços Ferreira
4153,2011-2012,17,Sporting,Beira-Mar
4154,2011-2012,17,Gil Vicente,FC Porto
4155,2011-2012,17,Marítimo,Sp. Braga
4156,2011-2012,18,Sp. Braga,V. Setúbal
4157,2011-2012,18,Marítimo,Sporting
4158,2011-2012,18,Benfica,Nacional
4159,2011-2012,18,Olhanense,Rio Ave
4160,2011-2012,18,Paços Ferreira,Feirense
4161,2011-2012,18,Beira-Mar,V. Guimarães
4162,2011-2012,18,FC Porto,U. Leiria
4163,2011-2012,18,Académica,Gil Vicente
4164,2011-2012,19,Rio Ave,Marítimo
4165,2011-2012,19,Gil Vicente,Sp. Braga
4166,2011-2012,19,U. Leiria,Beira-Mar
4167,2011-2012,19,Feirense,Olhanense
4168,2011-2012,19,Nacional,Académica
4169,2011-2012,19,V. Setúbal,FC Porto
4170,2011-2012,19,Sporting,Paços Ferreira
4171,2011-2012,19,V. Guimarães,Benfica
4172,2011-2012,20,Marítimo,U. Leiria
4173,2011-2012,20,Académica,Benfica
4174,2011-2012,20,Paços Ferreira,Nacional
4175,2011-2012,20,Olhanense,Gil Vicente
4176,2011-2012,20,Beira-Mar,V. Setúbal
4177,2011-2012,20,Sporting,Rio Ave
4178,2011-2012,20,FC Porto,Feirense
4179,2011-2012,20,Sp. Braga,V. Guimarães
4180,2011-2012,21,Benfica,FC Porto
4181,2011-2012,21,Nacional,Sp. Braga
4182,2011-2012,21,V. Setúbal,Sporting
4183,2011-2012,21,Feirense,Académica
4184,2011-2012,21,Gil Vicente,Paços Ferreira
4185,2011-2012,21,Rio Ave,Beira-Mar
4186,2011-2012,21,V. Guimarães,Marítimo
4187,2011-2012,21,U. Leiria,Olhanense
4188,2011-2012,22,Marítimo,Feirense
4189,2011-2012,22,Sp. Braga,U. Leiria
4190,2011-2012,22,FC Porto,Académica
4191,2011-2012,22,Rio Ave,V. Setúbal
4192,2011-2012,22,Beira-Mar,Gil Vicente
4193,2011-2012,22,Olhanense,Nacional
4194,2011-2012,22,Paços Ferreira,Benfica
4195,2011-2012,22,Sporting,V. Guimarães
4196,2011-2012,23,Nacional,FC Porto
4197,2011-2012,23,Benfica,Beira-Mar
4198,2011-2012,23,U. Leiria,Rio Ave
4199,2011-2012,23,Feirense,Sp. Braga
4200,2011-2012,23,Académica,Paços Ferreira
4201,2011-2012,23,V. Setúbal,Marítimo
4202,2011-2012,23,V. Guimarães,Olhanense
4203,2011-2012,23,Gil Vicente,Sporting
4204,2011-2012,24,Olhanense,Benfica
4205,2011-2012,24,Sporting,Feirense
4206,2011-2012,24,V. Setúbal,U. Leiria
4207,2011-2012,24,Beira-Mar,Nacional
4208,2011-2012,24,Rio Ave,V. Guimarães
4209,2011-2012,24,Paços Ferreira,FC Porto
4210,2011-2012,24,Marítimo,Gil Vicente
4211,2011-2012,24,Sp. Braga,Académica
4212,2011-2012,25,Académica,Marítimo
4213,2011-2012,25,FC Porto,Olhanense
4214,2011-2012,25,Benfica,Sp. Braga
4215,2011-2012,25,Feirense,Beira-Mar
4216,2011-2012,25,Gil Vicente,V. Setúbal
4217,2011-2012,25,Nacional,Rio Ave
4218,2011-2012,25,U. Leiria,Sporting
4219,2011-2012,25,V. Guimarães,Paços Ferreira
4220,2011-2012,26,U. Leiria,Gil Vicente
4221,2011-2012,26,Beira-Mar,Académica
4222,2011-2012,26,V. Setúbal,V. Guimarães
4223,2011-2012,26,Rio Ave,Feirense
4224,2011-2012,26,Olhanense,Paços Ferreira
4225,2011-2012,26,Marítimo,Nacional
4226,2011-2012,26,Sp. Braga,FC Porto
4227,2011-2012,26,Sporting,Benfica
4228,2011-2012,27,Paços Ferreira,Sp. Braga
4229,2011-2012,27,Benfica,Marítimo
4230,2011-2012,27,V. Guimarães,U. Leiria
4231,2011-2012,27,FC Porto,Beira-Mar
4232,2011-2012,27,Gil Vicente,Rio Ave
4233,2011-2012,27,Feirense,V. Setúbal
4234,2011-2012,27,Nacional,Sporting
4235,2011-2012,27,Académica,Olhanense
4236,2011-2012,28,Sp. Braga,Olhanense
4237,2011-2012,28,Gil Vicente,V. Guimarães
4238,2011-2012,28,Marítimo,FC Porto
4239,2011-2012,28,U. Leiria,Feirense
4240,2011-2012,28,Beira-Mar,Paços Ferreira
4241,2011-2012,28,V. Setúbal,Nacional
4242,2011-2012,28,Rio Ave,Benfica
4243,2011-2012,28,Sporting,Académica
4244,2011-2012,29,Benfica,U. Leiria
4245,2011-2012,29,Nacional,Gil Vicente
4246,2011-2012,29,Feirense,V. Guimarães
4247,2011-2012,29,Académica,V. Setúbal
4248,2011-2012,29,FC Porto,Sporting
4249,2011-2012,29,Sp. Braga,Beira-Mar
4250,2011-2012,29,Olhanense,Marítimo
4251,2011-2012,29,Paços Ferreira,Rio Ave
4252,2011-2012,30,V. Guimarães,Académica
4253,2011-2012,30,Marítimo,Paços Ferreira
4254,2011-2012,30,Rio Ave,FC Porto
4255,2011-2012,30,Beira-Mar,Olhanense
4256,2011-2012,30,V. Setúbal,Benfica
4257,2011-2012,30,Gil Vicente,Feirense
4258,2011-2012,30,U. Leiria,Nacional
4259,2011-2012,30,Sporting,Sp. Braga
4260,2012-2013,1,Olhanense,Estoril
4261,2012-2013,1,Rio Ave,Marítimo
4262,2012-2013,1,Benfica,Sp. Braga
4263,2012-2013,1,Nacional,V. Setúbal
4264,2012-2013,1,Paços Ferreira,Moreirense
4265,2012-2013,1,Gil Vicente,FC Porto
4266,2012-2013,1,V. Guimarães,Sporting
4267,2012-2013,1,Beira-Mar,Académica
4268,2012-2013,2,Académica,Olhanense
4269,2012-2013,2,Sp. Braga,Beira-Mar
4270,2012-2013,2,FC Porto,V. Guimarães
4271,2012-2013,2,Moreirense,Nacional
4272,2012-2013,2,Estoril,Paços Ferreira
4273,2012-2013,2,Marítimo,Gil Vicente
4274,2012-2013,2,V. Setúbal,Benfica
4275,2012-2013,2,Sporting,Rio Ave
4276,2012-2013,3,V. Guimarães,Estoril
4277,2012-2013,3,Olhanense,FC Porto
4278,2012-2013,3,Gil Vicente,V. Setúbal
4279,2012-2013,3,Beira-Mar,Moreirense
4280,2012-2013,3,Paços Ferreira,Sp. Braga
4281,2012-2013,3,Rio Ave,Académica
4282,2012-2013,3,Benfica,Nacional
4283,2012-2013,3,Marítimo,Sporting
4284,2012-2013,4,Moreirense,V. Guimarães
4285,2012-2013,4,FC Porto,Beira-Mar
4286,2012-2013,4,Nacional,Paços Ferreira
4287,2012-2013,4,V. Setúbal,Olhanense
4288,2012-2013,4,Sp. Braga,Rio Ave
4289,2012-2013,4,Académica,Benfica
4290,2012-2013,4,Estoril,Marítimo
4291,2012-2013,4,Sporting,Gil Vicente
4292,2012-2013,5,Paços Ferreira,Benfica
4293,2012-2013,5,V. Guimarães,Sp. Braga
4294,2012-2013,5,Sporting,Estoril
4295,2012-2013,5,Rio Ave,FC Porto
4296,2012-2013,5,Olhanense,Nacional
4297,2012-2013,5,Gil Vicente,Moreirense
4298,2012-2013,5,Beira-Mar,V. Setúbal
4299,2012-2013,5,Marítimo,Académica
4300,2012-2013,6,Benfica,Beira-Mar
4301,2012-2013,6,Nacional,Gil Vicente
4302,2012-2013,6,V. Setúbal,Paços Ferreira
4303,2012-2013,6,Sp. Braga,Olhanense
4304,2012-2013,6,Estoril,Rio Ave
4305,2012-2013,6,Académica,V. Guimarães
4306,2012-2013,6,FC Porto,Sporting
4307,2012-2013,6,Moreirense,Marítimo
4308,2012-2013,7,V. Guimarães,V. Setúbal
4309,2012-2013,7,Beira-Mar,Paços Ferreira
4310,2012-2013,7,Olhanense,Moreirense
4311,2012-2013,7,Gil Vicente,Benfica
4312,2012-2013,7,Rio Ave,Nacional
4313,2012-2013,7,Marítimo,Sp. Braga
4314,2012-2013,7,Estoril,FC Porto
4315,2012-2013,7,Sporting,Académica
4316,2012-2013,8,FC Porto,Marítimo
4317,2012-2013,8,Sp. Braga,Gil Vicente
4318,2012-2013,8,Benfica,V. Guimarães
4319,2012-2013,8,Moreirense,Rio Ave
4320,2012-2013,8,Paços Ferreira,Olhanense
4321,2012-2013,8,Nacional,Beira-Mar
4322,2012-2013,8,Académica,Estoril
4323,2012-2013,8,V. Setúbal,Sporting
4324,2012-2013,9,Gil Vicente,Paços Ferreira
4325,2012-2013,9,V. Guimarães,Nacional
4326,2012-2013,9,Olhanense,Beira-Mar
4327,2012-2013,9,Estoril,Moreirense
4328,2012-2013,9,FC Porto,Académica
4329,2012-2013,9,Rio Ave,Benfica
4330,2012-2013,9,Sporting,Sp. Braga
4331,2012-2013,9,Marítimo,V. Setúbal
4332,2012-2013,10,Beira-Mar,V. Guimarães
4333,2012-2013,10,Benfica,Olhanense
4334,2012-2013,10,Nacional,Estoril
4335,2012-2013,10,V. Setúbal,Rio Ave
4336,2012-2013,10,Académica,Gil Vicente
4337,2012-2013,10,Sp. Braga,FC Porto
4338,2012-2013,10,Moreirense,Sporting
4339,2012-2013,10,Paços Ferreira,Marítimo
4340,2012-2013,11,Estoril,V. Setúbal
4341,2012-2013,11,FC Porto,Moreirense
4342,2012-2013,11,Rio Ave,Paços Ferreira
4343,2012-2013,11,Marítimo,Nacional
4344,2012-2013,11,Gil Vicente,Beira-Mar
4345,2012-2013,11,V. Guimarães,Olhanense
4346,2012-2013,11,Académica,Sp. Braga
4347,2012-2013,11,Sporting,Benfica
4348,2012-2013,12,Beira-Mar,Rio Ave
4349,2012-2013,12,Olhanense,Gil Vicente
4350,2012-2013,12,Nacional,Sporting
4351,2012-2013,12,Benfica,Marítimo
4352,2012-2013,12,Moreirense,Académica
4353,2012-2013,12,Sp. Braga,Estoril
4354,2012-2013,12,Paços Ferreira,V. Guimarães
4355,2012-2013,12,V. Setúbal,FC Porto
4356,2012-2013,13,Gil Vicente,V. Guimarães
4357,2012-2013,13,Rio Ave,Olhanense
4358,2012-2013,13,Sporting,Paços Ferreira
4359,2012-2013,13,Académica,V. Setúbal
4360,2012-2013,13,FC Porto,Nacional
4361,2012-2013,13,Marítimo,Beira-Mar
4362,2012-2013,13,Sp. Braga,Moreirense
4363,2012-2013,13,Estoril,Benfica
4364,2012-2013,14,V. Guimarães,Marítimo
4365,2012-2013,14,Nacional,Sp. Braga
4366,2012-2013,14,Paços Ferreira,Académica
4367,2012-2013,14,Gil Vicente,Rio Ave
4368,2012-2013,14,V. Setúbal,Moreirense
4369,2012-2013,14,Olhanense,Sporting
4370,2012-2013,14,Benfica,FC Porto
4371,2012-2013,14,Beira-Mar,Estoril
4372,2012-2013,15,Sporting,Beira-Mar
4373,2012-2013,15,FC Porto,Paços Ferreira
4374,2012-2013,15,Estoril,Gil Vicente
4375,2012-2013,15,Marítimo,Olhanense
4376,2012-2013,15,Sp. Braga,V. Setúbal
4377,2012-2013,15,Rio Ave,V. Guimarães
4378,2012-2013,15,Académica,Nacional
4379,2012-2013,15,Moreirense,Benfica
4380,2012-2013,16,Académica,Beira-Mar
4381,2012-2013,16,Sp. Braga,Benfica
4382,2012-2013,16,Moreirense,Paços Ferreira
4383,2012-2013,16,V. Setúbal,Nacional
4384,2012-2013,16,Marítimo,Rio Ave
4385,2012-2013,16,Sporting,V. Guimarães
4386,2012-2013,16,Estoril,Olhanense
4387,2012-2013,16,FC Porto,Gil Vicente
4388,2012-2013,17,Rio Ave,Sporting
4389,2012-2013,17,V. Guimarães,FC Porto
4390,2012-2013,17,Olhanense,Académica
4391,2012-2013,17,Nacional,Moreirense
4392,2012-2013,17,Gil Vicente,Marítimo
4393,2012-2013,17,Beira-Mar,Sp. Braga
4394,2012-2013,17,Benfica,V. Setúbal
4395,2012-2013,17,Paços Ferreira,Estoril
4396,2012-2013,18,Estoril,V. Guimarães
4397,2012-2013,18,V. Setúbal,Gil Vicente
4398,2012-2013,18,Moreirense,Beira-Mar
4399,2012-2013,18,Académica,Rio Ave
4400,2012-2013,18,Sporting,Marítimo
4401,2012-2013,18,Nacional,Benfica
4402,2012-2013,18,FC Porto,Olhanense
4403,2012-2013,18,Sp. Braga,Paços Ferreira
4404,2012-2013,19,Beira-Mar,FC Porto
4405,2012-2013,19,Gil Vicente,Sporting
4406,2012-2013,19,Marítimo,Estoril
4407,2012-2013,19,Paços Ferreira,Nacional
4408,2012-2013,19,Olhanense,V. Setúbal
4409,2012-2013,19,V. Guimarães,Moreirense
4410,2012-2013,19,Benfica,Académica
4411,2012-2013,19,Rio Ave,Sp. Braga
4412,2012-2013,20,Estoril,Sporting
4413,2012-2013,20,V. Setúbal,Beira-Mar
4414,2012-2013,20,Sp. Braga,V. Guimarães
4415,2012-2013,20,FC Porto,Rio Ave
4416,2012-2013,20,Nacional,Olhanense
4417,2012-2013,20,Moreirense,Gil Vicente
4418,2012-2013,20,Benfica,Paços Ferreira
4419,2012-2013,20,Académica,Marítimo
4420,2012-2013,21,Paços Ferreira,V. Setúbal
4421,2012-2013,21,Sporting,FC Porto
4422,2012-2013,21,Marítimo,Moreirense
4423,2012-2013,21,Gil Vicente,Nacional
4424,2012-2013,21,Rio Ave,Estoril
4425,2012-2013,21,Beira-Mar,Benfica
4426,2012-2013,21,V. Guimarães,Académica
